State,Airport Name,Loc ID,Associated City,County,Enplanements,,,,,,,,,,,,,,
CA,San Luis County Regional,SBP,San Luis Obispo,San Luis Obispo,"144,324",,,,,,,,,,,,,,
CA,Charles M Schulz - Sonoma County,STS,Santa Rosa,Sonoma,"129,086",,,,,,,,,,,,,,
CA,Meadows Field,BFL,Bakersfield,Kern,"120,966",,,,,,,,,,,,,,
CA,Stockton Metropolitan,SCK,Stockton,San Joaquin,"80,163",,,,,,,,,,,,,,
CA,Arcata,ACV,Arcata,Humboldt,"55,168",,,,,,,,,,,,,,
CA,Santa Maria Public/Capt G Allan Hancock Field,SMX,Santa Maria,Santa Barbara,"43,941",,,,,,,,,,,,,,
CA,Redding Municipal,RDD,Redding,Shasta,"30,852",,,,,,,,,,,,,,
CA,Mammoth Yosemite,MMH,Mammoth Lakes,Mono,"23,504",,,,,,,,,,,,,,
CA,McClellan-Palomar,CRQ,Carlsbad,San Diego,"12,380",,,,,,,,,,,,,,
CA,Visalia Municipal,VIS,Visalia,Tulare,"5,571",,,,,,,,,,,,,,
CA,Jack McNamara Field,CEC,Crescent City,Del Norte,"4,915",,,,,,,,,,,,,,
CA,Imperial County,IPL,Imperial,Imperial,"2,601",,,,,,,,,,,,,,
CO,Denver International,DEN,Denver,Denver,"26,280,043",,,,,,,,,,,,,,
CO,City of Colorado Springs Municipal,COS,Colorado Springs,El Paso,"593,246",,,,,,,,,,,,,,
CO,Aspen-Pitkin County/Sardy Field,ASE,Aspen,Pitkin,"233,512",,,,,,,,,,,,,,
CO,Grand Junction Regional,GJT,Grand Junction,Mesa,"214,404",,,,,,,,,,,,,,
CO,Durango-La Plata County,DRO,Durango,La Plata,"186,800",,,,,,,,,,,,,,
CO,Eagle County Regional,EGE,Eagle,Eagle,"156,937",,,,,,,,,,,,,,
CO,Montrose Regional,MTJ,Montrose,Montrose,"102,756",,,,,,,,,,,,,,
CO,Yampa Valley,HDN,Hayden,Routt,"93,896",,,,,,,,,,,,,,
CO,Gunnison-Crested Butte Regional,GUC,Gunnison,Gunnison,"34,412",,,,,,,,,,,,,,
CO,Pueblo Memorial,PUB,Pueblo,Pueblo,"3,674",,,,,,,,,,,,,,
CO,Fort Collins-Loveland Municipal,FNL,Loveland,Larimer,"3,445",,,,,,,,,,,,,,
CO,San Luis Valley Regional/Bergman Field,ALS,Alamosa,Alamosa,"3,105",,,,,,,,,,,,,,
CT,Bradley International,BDL,Windsor Locks,Hartford,"2,926,054",,,,,,,,,,,,,,
CT,Tweed-New Haven,HVN,New Haven,New Haven,"30,955",,,,,,,,,,,,,,
DE,New Castle,ILG,Wilmington,New Castle,"12,574",,,,,,,,,,,,,,
FL,Miami International,MIA,Miami,Dade,"20,986,349",,,,,,,,,,,,,,
FL,Orlando International,MCO,Orlando,Orange,"18,759,938",,,,,,,,,,,,,,
FL,Fort Lauderdale/Hollywood International,FLL,Fort Lauderdale,Broward,"13,061,632",,,,,,,,,,,,,,
FL,Tampa International,TPA,Tampa,Hillsborough,"9,150,458",,,,,,,,,,,,,,
FL,Southwest Florida International,RSW,Fort Myers,Lee,"4,159,215",,,,,,,,,,,,,,
FL,Palm Beach International,PBI,West Palm Beach,Palm Beach,"3,113,591",,,,,,,,,,,,,,
FL,Jacksonville International,JAX,Jacksonville,Duval,"2,716,473",,,,,,,,,,,,,,
FL,Orlando Sanford International,SFB,Sanford,Seminole,"1,209,382",,,,,,,,,,,,,,
FL,St Pete-Clearwater International,PIE,Clearwater,Pinellas,"819,974",,,,,,,,,,,,,,
FL,Pensacola International,PNS,Pensacola,Escambia,"787,916",,,,,,,,,,,,,,
FL,Sarasota/Bradenton International,SRQ,Sarasota,Sarasota,"607,449",,,,,,,,,,,,,,
FL,Northwest Florida Beaches International,ECP,Panama City,Bay,"428,704",,,,,,,,,,,,,,
FL,Punta Gorda,PGD,Punta Gorda,Charlotte,"421,162",,,,,,,,,,,,,,
