geoid,total_votes,votes_gop,votes_dem
17163.0,128091,57150,68325
17175.0,2883,2004,815
17177.0,22048,12521,9055
17179.0,69052,42513,24819
17181.0,8886,6161,2579
17183.0,31584,20725,10323
17185.0,5593,4237,1253
17187.0,7909,4676,3090
17189.0,7902,6115,1641
17191.0,8486,7176,1187
17193.0,7421,5791,1517
17195.0,27375,14527,12253
17197.0,345105,155116,183915
17199.0,33653,22801,10206
17201.0,127709,60861,64056
17203.0,21432,14799,6160
18001.0,14209,10686,3236
18003.0,169082,92083,73189
18005.0,36235,22410,12934
18007.0,4114,3007,1009
18009.0,5350,3841,1376
18011.0,38520,22351,15244
18013.0,8981,5777,3036
18015.0,9495,7086,2224
18017.0,15198,10552,4304
18019.0,57869,33668,23093
18021.0,12267,9499,2552
18023.0,12949,9334,3361
18025.0,4944,3483,1355
18027.0,11954,9576,2169
18033.0,19628,14237,4966
18029.0,25383,19528,5446
18031.0,12287,9575,2439
18035.0,48191,26827,20474
18037.0,21770,15033,6292
18039.0,74387,46972,26108
18041.0,10136,7755,2237
18043.0,41802,23400,17511
18045.0,7986,6154,1629
18047.0,12000,9691,2137
18049.0,9147,6694,2280
18051.0,16161,11817,4023
18053.0,27159,18543,8015
18055.0,14784,11103,3389
18057.0,193999,101587,88390
18059.0,42911,28996,12895
18061.0,20236,14565,5343
18063.0,88505,53802,32604
18065.0,21030,15043,5544
18067.0,40630,26449,13303
18069.0,17829,13147,4255
18071.0,19238,14555,4302
18073.0,15475,11383,3798
18075.0,8461,6361,1926
18077.0,14697,9663,4731
18079.0,12251,9490,2523
18081.0,77618,51219,24736
18083.0,16011,11655,4067
18085.0,35787,26499,8364
18087.0,10633,8110,2355
18091.0,49392,25997,22427
18089.0,219956,91760,124870
18093.0,21025,15601,4961
18095.0,51793,31215,19524
18097.0,389619,134175,247772
18099.0,19927,13844,5712
18101.0,5144,4029,1011
18103.0,14473,10925,3235
18105.0,63151,22071,39861
18107.0,17198,12659,4213
18109.0,36159,27512,7781
18111.0,6591,4942,1509
18113.0,19190,14195,4660
18115.0,3164,2392,750
18117.0,8832,6432,2224
18119.0,9904,7286,2420
18121.0,7013,5400,1503
18123.0,8722,5345,3203
18125.0,6220,4692,1415
18127.0,86509,45008,39746
18129.0,13236,9206,3811
18131.0,5806,4246,1463
18133.0,16597,12278,3946
18135.0,11070,8312,2513
18137.0,14271,11261,2774
18139.0,7932,6035,1754
18143.0,10167,7331,2701
18145.0,19991,14568,5023
18147.0,10769,7357,3213
18141.0,115238,53164,59896
18149.0,10290,7466,2650
18151.0,16162,11327,4513
18153.0,8994,6691,2153
18155.0,4154,3133,964
18157.0,71448,34581,35017
18159.0,8116,6110,1834
18161.0,3483,2688,736
18163.0,77662,41844,34415
18165.0,7481,5184,2145
18167.0,43594,24545,18123
18169.0,14573,10762,3494
18171.0,4472,3401,974
18173.0,33829,21326,11923
18175.0,12139,9114,2784
18177.0,27679,17567,9524
18179.0,14050,10855,2928
18181.0,11166,7957,3032
18183.0,17556,12862,4234
20001.0,5918,4218,1570
20003.0,3792,2929,782
20005.0,7440,4906,2359
20007.0,2342,2014,291
20009.0,11130,8608,2340
20011.0,6701,5023,1541
20013.0,4471,3262,1104
20015.0,32520,22634,9181
20017.0,1491,1123,345
20019.0,1639,1402,212
20021.0,9128,6766,2194
20023.0,1429,1183,224
20025.0,1067,904,143
20027.0,4196,3177,894
20029.0,4263,3242,920
20031.0,4573,3489,964
20033.0,921,762,126
20035.0,14231,9656,4273
20037.0,16718,10045,6179
20039.0,1498,1260,218
20041.0,9349,7126,2060
20043.0,3709,2976,686
20045.0,59495,17286,40785
20047.0,1431,1141,271
20049.0,1361,1140,195
20051.0,13800,9758,3737
20053.0,2853,2148,648
20055.0,11800,7236,4325
20057.0,8915,5803,2947
20059.0,12477,8479,3690
20061.0,9603,5323,3983
20063.0,1471,1291,166
20065.0,1337,1080,228
20067.0,2501,1936,518
20069.0,2288,1911,341
20071.0,642,549,78
20073.0,3077,2444,569
20075.0,859,698,141
20077.0,2678,2168,461
20079.0,17309,10182,6747
20081.0,1410,1122,268
20083.0,1045,875,154
20085.0,6584,4517,1881
20087.0,9819,6334,3194
20089.0,1628,1387,212
20091.0,349386,155631,184259
20093.0,1455,1164,267
20095.0,3968,3130,752
20097.0,1165,980,156
20099.0,8563,5735,2655
20101.0,895,762,115
20103.0,36490,21610,13886
20105.0,1579,1283,266
20107.0,5046,4048,896
20109.0,1458,1249,186
20111.0,13988,7550,6055
20115.0,6111,4465,1516
20117.0,5114,3729,1259
20113.0,14438,9964,4134
20119.0,1825,1523,263
20121.0,17937,12308,5247
20123.0,3101,2504,558
20125.0,13426,9931,3228
20127.0,2899,2124,729
20129.0,1198,1034,150
20131.0,5684,4664,927
20133.0,6877,4970,1796
20135.0,1513,1339,149
20137.0,2423,2007,364
20139.0,8050,5705,2136
20141.0,1945,1629,281
20143.0,3191,2610,506
20145.0,2739,2045,643
20147.0,2781,2418,318
20149.0,13083,9452,3313
20151.0,4137,3108,933
20153.0,1504,1261,214
20155.0,28057,18443,8886
20157.0,2657,2182,424
20159.0,4319,3262,965
20161.0,25171,11610,12765
20163.0,2699,2325,339
20165.0,1677,1350,295
20167.0,3467,2790,600
20169.0,24531,15722,8214
20171.0,2354,2014,299
20173.0,223688,122416,95870
20175.0,5294,3372,1833
20177.0,86122,40443,43015
20179.0,1445,1282,147
20181.0,2732,2269,396
20183.0,2129,1763,336
20185.0,2034,1645,357
20187.0,776,614,148
20189.0,2031,1760,237
